filename, Center, Donut, Edge_Loc, Edge_Ring, Loc, Near_Full, Normal, Scratch
image_18600_png.rf.fb5a30745e40f4c5fa0556464fd57425.jpg, 0, 1, 1, 0, 1, 0, 0, 0
image_22500_png.rf.fe1fa43208a4efcaf59e5d71c31115de.jpg, 0, 1, 0, 0, 1, 0, 0, 0
image_18000_png.rf.fc52e0a72f2b5c86be0967d15c357bc6.jpg, 0, 1, 1, 0, 1, 0, 0, 0
image_27300_png.rf.fbb4c36e02a87fbb069ce9d3c4db5d65.jpg, 0, 0, 1, 0, 1, 0, 0, 1
image_9900_png.rf.fea7388e3e483cf4f325240639a60d6d.jpg, 1, 0, 0, 0, 1, 0, 0, 1
image_37500_png.rf.f996eb91033e2ad7210d82ccf8901bd4.jpg, 0, 0, 0, 0, 0, 0, 0, 1
image_21300_png.rf.fead616e3055be61567c006457cc0f0e.jpg, 0, 1, 0, 0, 1, 0, 0, 1
image_16500_png.rf.fa76dbb7a589ad8107cf74a9d8099842.jpg, 0, 1, 0, 1, 0, 0, 0, 0
image_15300_png.rf.ffa0b61e6c5d3d3ceaed3a052fd24b3b.jpg, 0, 1, 0, 1, 0, 0, 0, 1
image_21600_png.rf.f8393becaa01ba75d57576b13aee9c79.jpg, 0, 1, 0, 0, 1, 0, 0, 1
image_30300_png.rf.fe602f9bd569a18398358c3a1d56f75e.jpg, 0, 0, 0, 1, 1, 0, 0, 0
image_22800_png.rf.0ab437394aa6708d6977ebd4129e2fe7.jpg, 0, 1, 0, 0, 1, 0, 0, 0
image_600_png.rf.00f993ecb50068a45f2634c07d5f1a50.jpg, 1, 0, 1, 0, 0, 0, 0, 1
image_29700_png.rf.05e5d99915e936de5133c072cfeb5e00.jpg, 0, 0, 0, 1, 1, 0, 0, 1
image_21600_png.rf.0d723d9a9d7b8f42829833219a4f0c87.jpg, 0, 1, 0, 0, 1, 0, 0, 1
image_2400_png.rf.0532e2c460f3a95adb74dfd83df9b29f.jpg, 1, 0, 1, 0, 0, 0, 0, 0
image_29400_png.rf.0b98ca4ff9a9e9552c1e8dbefb4a07da.jpg, 0, 0, 0, 1, 1, 0, 0, 1
image_14100_png.rf.0db81624451e6f093451bc753f3ba63b.jpg, 0, 1, 1, 0, 0, 0, 0, 0
image_32100_png.rf.030395bc268e23b6b487e0360771d3b3.jpg, 0, 0, 0, 0, 1, 0, 0, 0
image_7800_png.rf.082086730d5c1af039e4cae18f25b1f0.jpg, 1, 0, 0, 1, 1, 0, 0, 1
image_10800_png.rf.0dfbd9de6cf63c92a60bc586cd316267.jpg, 1, 0, 0, 0, 1, 0, 0, 0
image_33900_png.rf.0400c58bcff875727b0f3a211a1e0d40.jpg, 0, 0, 0, 0, 0, 0, 1, 0
image_3000_png.rf.07644f87fe0b8b27780068dc0461829e.jpg, 1, 0, 0, 1, 0, 0, 0, 1
image_27300_png.rf.2486bb2df129ecd51336d67d366de134.jpg, 0, 0, 1, 0, 1, 0, 0, 1
image_34200_png.rf.1d38d08434a5dfe716cb21866ff6744a.jpg, 0, 0, 0, 0, 0, 0, 1, 0
image_8400_png.rf.18e1bfbe41f2750fc594d09623402a8e.jpg, 1, 0, 0, 1, 1, 0, 0, 0
image_26700_png.rf.1b62d55f5967549f05dd26d318608e7c.jpg, 0, 0, 0, 1, 0, 0, 0, 0
image_14100_png.rf.2153d619ecb16045084417814b2ea1b3.jpg, 0, 1, 1, 0, 0, 0, 0, 0
image_33000_png.rf.204a1fe881b3750a77e615398ef72432.jpg, 0, 0, 0, 0, 0, 1, 0, 0
image_6000_png.rf.2cc36765cb0b51acdb0a1b837fa80587.jpg, 1, 0, 1, 0, 1, 0, 0, 0
image_19500_png.rf.1f0c306e1311b3174707084cfb6fd570.jpg, 0, 1, 0, 1, 1, 0, 0, 1
image_25500_png.rf.22438b77e0713803249debdcf7f08f97.jpg, 0, 0, 1, 0, 0, 0, 0, 0
image_2100_png.rf.267cefe460c6af3a8d5051dbff9a08f1.jpg, 1, 0, 1, 0, 0, 0, 0, 0
image_28200_png.rf.19cbb1cb33309277ebec5b4cd02a3ed4.jpg, 0, 0, 1, 0, 1, 0, 0, 0
image_36600_png.rf.2b9986dcad22b7fe40547f75dfe5a331.jpg, 0, 0, 0, 1, 0, 0, 0, 1
image_9000_png.rf.281c10d67a01d95e406548229d5f3059.jpg, 1, 0, 0, 0, 1, 0, 0, 1
image_1800_png.rf.19fa5dfe7af514820bcdf595d0c968a8.jpg, 1, 0, 1, 0, 0, 0, 0, 1
